sample_id	sample_tissue	sample_project_number	sample_antibody	sample_description									
SRR4416329	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR6079224	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_8C_BR1									
SRR6079225	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_8C_BR3									
SRR6079226	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_4C_BR2									
SRR6079227	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_8C_BR2									
SRR6079228	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_4C_BR3									
SRR6079229	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_4C_BR1									
SRR3740165	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_2C_BR1									
SRR3740166	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_2C_BR2									
SRR3740167	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_2C_BR3									
SRR3740168	root	PRJNA327593	H3K4me3	Z.mays_B73_root_0-3mm_H3K4me3_ChIP_2C_Input									
SRR6079211	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_8C_BR3									
SRR6079212	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_8C_BR1									
SRR6079213	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_8C_BR2									
SRR6079214	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_4C_BR2									
SRR6079215	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_4C_BR1									
SRR6079216	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_4C_BR3									
SRR3740169	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_2C_BR3									
SRR3740170	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_2C_BR2									
SRR3740171	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_2C_BR1									
SRR3740172	root	PRJNA327594	H3K27me3	Z.mays_B73_root_0-3mm_H3K27me3_ChIP_2C_Input									
SRR6079476	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_4C_BR2									
SRR6079477	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_4C_BR1									
SRR6079478	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_8C_BR1									
SRR6079479	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_8C_BR2									
SRR6079480	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_4C_BR3									
SRR6079481	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_8C_BR3									
SRR3740173	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_2C_Input									
SRR3740174	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_2C_BR3									
SRR3740175	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_2C_BR2									
SRR3740176	root	PRJNA327596	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_2C_BR1									
SRR5217069	seedling	PRJNA369206	H3K9ac 										
SRR5217070	seedling	PRJNA369206	H3K9ac 										
SRR5217071	mixed	PRJNA369206	H3K9ac 										
SRR5217072	mixed	PRJNA369206	H3K9ac 										
SRR5217073	mixed	PRJNA369206	H3K9ac 										
SRR5217074	mixed	PRJNA369206	H3K9ac 										
SRR5217075	seedling	PRJNA369206	Input										
SRR5217076	seedling	PRJNA369206	Input										
SRR5217077	mixed	PRJNA369206	Input										
SRR5217078	mixed	PRJNA369206	Input										
SRR5421615	kernel	PRJNA381885	O11-antibody.										
SRR5421616	kernel	PRJNA381885	O11-antibody.										
SRR5436222	shoot	PRJNA382414	H3K27me3	H3K27me3									
SRR5436223	shoot	PRJNA382414	H3K27ac	H3K27ac									
SRR5436225	shoot	PRJNA382414	H3K4me3	H3K4me3									
SRR5436226	shoot	PRJNA382414	H3K4me2	H3K4me2									
SRR5436227	shoot	PRJNA382414	H3K4me1	H3K4me1									
SRR5436224	shoot	PRJNA382414	H3K4ac	H3K4ac									
SRR5466367	mixed	PRJNA384363	CENH3	J205-3 ChIP-seq									
SRR5466394	mixed	PRJNA384363	CENH3	J201-1 ChIP-seq									
SRR5466395	mixed	PRJNA384363	CENH3	J202-4 ChIP-seq									
SRR5466396	mixed	PRJNA384363	CENH3	J203-5 ChIP-seq									
SRR5466397	mixed	PRJNA384363	CENH3	W22 ChIP-seq									
SRR5466476	mixed	PRJNA384363	CENH3	B73LH74-1 ChIP-seq									
SRR5466510	mixed	PRJNA384363	CENH3	LH74B73-3 ChIP-seq									
SRR5466539	mixed	PRJNA384363	CENH3	LH74-1 ChIP-seq									
SRR5466588	mixed	PRJNA384363	CENH3	Oax-2 ChIP-seq									
SRR5466589	mixed	PRJNA384363	CENH3	Mex-2 ChIP-seq									
SRR5466711	mixed	PRJNA384363	CENH3	74-1 ChIP-seq									
SRR5466712	mixed	PRJNA384363	CENH3	77-1 ChIP-seq									
SRR5466713	mixed	PRJNA384363	CENH3	Hue-2 ChIP-seq									
SRR5466730	mixed	PRJNA384363	CENH3	Hue-4 ChIP-seq									
SRR5466733	mixed	PRJNA384363	CENH3	26-1 ChIP-seq									
SRR5466370	mixed	PRJNA384363	CENH3	Delta5-3 ChIP-seq									
SRR5466384	mixed	PRJNA384363	CENH3	Delta1-1 ChIP-seq									
SRR5466390	mixed	PRJNA384363	CENH3	Delta10-B ChIP-seq									
SRR5466555	mixed	PRJNA384363	CENH3	Delta1-2 ChIP-seq									
SRR5466556	mixed	PRJNA384363	CENH3	Delta1-3 ChIP-seq									
SRR5466557	mixed	PRJNA384363	CENH3	ta10-8 ChIP-seq									
SRR5466573	mixed	PRJNA384363	CENH3	Delta10-A ChIP-seq									
SRR5466734	mixed	PRJNA384363	CENH3	"Delta5-6 ChIP-seq, rep1"									
SRR5466735	mixed	PRJNA384363	CENH3	"Delta5-6 ChIP-seq, rep 2"									
SRR5466736	mixed	PRJNA384363	CENH3	"Delta5-7 ChIP-seq, rep 1"									
SRR5466737	mixed	PRJNA384363	CENH3	"Delta5-7 ChIP-seq, rep 2"									
SRR5466738	mixed	PRJNA384363	CENH3	"Delta10-D ChIP-seq, rep 1"									
SRR5466739	mixed	PRJNA384363	CENH3	"Delta10-D ChIP-seq, rep 2"									
SRR5748808	leaf protoplast	PRJNA391551	Input	ZmMC_input									
SRR5748811	leaf protoplast	PRJNA391551	H3K4me3	ZmMC_H3K4me3_1.2									
SRR5748812	leaf protoplast	PRJNA391551	H3K4me3	ZmMC_H3K4me3_1.1									
SRR5748813	leaf protoplast	PRJNA391551	H3K27me3	ZmMC_H3K27me3_1.2									
SRR5748814	leaf protoplast	PRJNA391551	H3K27me3	ZmMC_H3K27me3_1.1									
SRR5748815	leaf protoplast	PRJNA391551	H3K27ac	ZmMC_H3K27ac_1.2									
SRR5748816	leaf protoplast	PRJNA391551	H3K27ac	ZmMC_H3K27ac_1.1									
SRR5951726	seedling	PRJNA396255	H3K4me3	Mo17_H3K4me3_S1									
SRR5951727	seedling	PRJNA396255	H3K4me3	Mo17_InputH3K4me3_S1									
SRR5951728	anther	PRJNA396255	Input	Mo17_H3K4me3_A1									
SRR5951729	anther	PRJNA396255	H3K4me3	Mo17_InputH3K4me3_A1									
SRR5951730	meiocyte	PRJNA396255	Input	Mo17_H3K4me3_M1									
SRR5951731	meiocyte	PRJNA396255	H3K4me3	Mo17_InputH3K4me3_M1									
SRR5951780	seedling	PRJNA396255	Input	Mo17_H3K4me3_S1									
SRR5951781	seedling	PRJNA396255	H3K4me3	Mo17_InputH3K4me3_S1									
SRR5951782	anther	PRJNA396255	Input	Mo17_H3K4me3_A1									
SRR5951783	anther	PRJNA396255	H3K4me3	Mo17_InputH3K4me3_A1									
SRR5951784	meiocyte	PRJNA396255	Input	Mo17_H3K4me3_M1									
SRR5951785	meiocyte	PRJNA396255	H3K4me3	Mo17_InputH3K4me3_M1									
SRR5883400	kernel	PRJNA396496	Input										
SRR5883401	kernel	PRJNA396496	O11-antibody.										
SRR5883402	kernel	PRJNA396496	O11-antibody.										
SRR5883403	kernel	PRJNA396496	O11-antibody.										
SRR6061751	root	PRJNA411848	H3K27me3	Z.mays_B73_root_0-5mm_H3K27me3_ChIP_WCE_BR1									
SRR6061750	root	PRJNA411848	H3K27me3	Z.mays_B73_root_0-5mm_H3K27me3_ChIP_WCE_BR2									
